;;;
Informações de Saúde;;;
DATASUS  Tecnologia da Informação a Serviço do SUS;;;
Ajuda;;;
Notas Técnicas;;;
DATASUS;;;
Taxa de desemprego - Brasil;;;
Taxa de desemprego 16a e+ segundo Município;;;
Período: 2000;;;
Município;Taxa de desemprego 16a e+;;
Fonte: IBGE - Censos Demográficos;;;
Notas:;;;
;;;
1. Taxa de desemprego: Percentual da população de 16 anos e mais, economicamente ativa, desocupada.;;;
;;;
Consulte o sítio da Secretaria Estadual de Saúde e do IBGE para mais informações.;;;
;;;
211140 SAO LUIS GONZAGA DO MARANHAO;6,95;;
211150 SAO MATEUS DO MARANHAO;8,58;;
211153 SAO PEDRO DA AGUA BRANCA;16,96;;
211157 SAO PEDRO DOS CRENTES;7,49;;
211160 SAO RAIMUNDO DAS MANGABEIRAS;8,94;;
211163 SAO RAIMUNDO DO DOCA BEZERRA;1,45;;
211167 SAO ROBERTO;1,59;;
211170 SAO VICENTE FERRER;2,64;;
211172 SATUBINHA;0,89;;
211174 SENADOR ALEXANDRE COSTA;4,21;;
211176 SENADOR LA ROCQUE;5,97;;
211178 SERRANO DO MARANHAO;3,21;;
211180 SITIO NOVO;7,33;;
211190 SUCUPIRA DO NORTE;5,36;;
211195 SUCUPIRA DO RIACHAO;4,28;;
211200 TASSO FRAGOSO;9,72;;
211210 TIMBIRAS;5,31;;
211220 TIMON;15,75;;
211223 TRIZIDELA DO VALE;13,27;;
211227 TUFILANDIA;5,56;;
211230 TUNTUM;5,46;;
211240 TURIACU;3,04;;
211245 TURILANDIA;5,98;;
211250 TUTOIA;8,53;;
211260 URBANO SANTOS;5,97;;
211270 VARGEM GRANDE;4,18;;
211280 VIANA;7,08;;
211285 VILA NOVA DOS MARTIRIOS;5,49;;
211290 VITORIA DO MEARIM;5,46;;
211300 VITORINO FREIRE;7,58;;
211400 ZE DOCA;9,57;;
220005 ACAUA;0,54;;
220010 AGRICOLANDIA;2,87;;
220020 AGUA BRANCA;6,81;;
220025 ALAGOINHA DO PIAUI;2,63;;
220027 ALEGRETE DO PIAUI;10,69;;
220030 ALTO LONGA;7,16;;
220040 ALTOS;10,61;;
220045 ALVORADA DO GURGUEIA;10,71;;
220050 AMARANTE;5,93;;
220060 ANGICAL DO PIAUI;9,7;;
220070 ANISIO DE ABREU;4,31;;
220080 ANTONIO ALMEIDA;12,87;;
220090 AROAZES;8,54;;
220100 ARRAIAL;2,37;;
220105 ASSUNCAO DO PIAUI;1,89;;
220110 AVELINO LOPES;2,96;;
220115 BAIXA GRANDE DO RIBEIRO;3,57;;
220117 BARRA D'ALCANTARA;5,28;;
220120 BARRAS;5,23;;
220130 BARREIRAS DO PIAUI;6,83;;
220140 BARRO DURO;11,43;;
220150 BATALHA;7,41;;
220155 BELA VISTA DO PIAUI;14,19;;
220157 BELEM DO PIAUI;7,55;;
220160 BENEDITINOS;6,65;;
220170 BERTOLINIA;10,52;;
220173 BETANIA DO PIAUI;5,88;;
220177 BOA HORA;3,18;;
220180 BOCAINA;10,5;;
220190 BOM JESUS;11,51;;
220191 BOM PRINCIPIO DO PIAUI;2,85;;
220192 BONFIM DO PIAUI;3,82;;
220194 BOQUEIRAO DO PIAUI;3,78;;
220196 BRASILEIRA;7,92;;
220198 BREJO DO PIAUI;6,5;;
220200 BURITI DOS LOPES;5,58;;
220202 BURITI DOS MONTES;6,84;;
220205 CABECEIRAS DO PIAUI;1,26;;
220207 CAJAZEIRAS DO PIAUI;2,94;;
220208 CAJUEIRO DA PRAIA;5,89;;
220209 CALDEIRAO GRANDE DO PIAUI;1,28;;
220210 CAMPINAS DO PIAUI;6,51;;
220211 CAMPO ALEGRE DO FIDALGO;6,68;;
220213 CAMPO GRANDE DO PIAUI;7,49;;
220217 CAMPO LARGO DO PIAUI;1,23;;
220220 CAMPO MAIOR;12,06;;
220225 CANAVIEIRA;11,16;;
220230 CANTO DO BURITI;9,2;;
220240 CAPITAO DE CAMPOS;7,68;;
220245 CAPITAO GERVASIO OLIVEIRA;21,51;;
220250 CARACOL;7,54;;
220253 CARAUBAS DO PIAUI;0,9;;
220255 CARIDADE DO PIAUI;2,3;;
220260 CASTELO DO PIAUI;9,54;;
220270 COCAL;6,07;;
220271 COCAL DE TELHA;2,45;;
220272 COCAL DOS ALVES;0,54;;
220273 COIVARAS;8,28;;
220275 COLONIA DO GURGUEIA;10,65;;
220277 COLONIA DO PIAUI;9,44;;
220280 CONCEICAO DO CANINDE;11,22;;
220285 CORONEL JOSE DIAS;14,6;;
220290 CORRENTE;8,92;;
220300 CRISTALANDIA DO PIAUI;3,64;;
220310 CRISTINO CASTRO;11,08;;
220320 CURIMATA;7,87;;
220323 CURRAIS;2,81;;
220325 CURRALINHOS;2,93;;
220327 CURRAL NOVO DO PIAUI;3,49;;
220330 DEMERVAL LOBAO;11,56;;
220335 DIRCEU ARCOVERDE;3,4;;
220340 DOM EXPEDITO LOPES;10,23;;
220342 DOMINGOS MOURAO;13,28;;
220345 DOM INOCENCIO;4,38;;
220350 ELESBAO VELOSO;10,72;;
220360 ELISEU MARTINS;9,69;;
220370 ESPERANTINA;5,9;;
220375 FARTURA DO PIAUI;5,76;;
220380 FLORES DO PIAUI;0,76;;
220385 FLORESTA DO PIAUI;1,5;;
220390 FLORIANO;9,99;;
220400 FRANCINOPOLIS;4,15;;
220410 FRANCISCO AYRES;11,31;;
220415 FRANCISCO MACEDO;8,56;;
220420 FRANCISCO SANTOS;1,31;;
220430 FRONTEIRAS;7,38;;
220435 GEMINIANO;11,35;;
220440 GILBUES;10,82;;
220450 GUADALUPE;15,03;;
220455 GUARIBAS;1,29;;
220460 HUGO NAPOLEAO;2,67;;
220465 ILHA GRANDE;3,22;;
220470 INHUMA;8,28;;
220480 IPIRANGA DO PIAUI;8,38;;
220490 ISAIAS COELHO;4,41;;
220500 ITAINOPOLIS;4,64;;
220510 ITAUEIRA;7,14;;
220515 JACOBINA DO PIAUI;6,35;;
220520 JAICOS;8,88;;
220525 JARDIM DO MULATO;11,33;;
220527 JATOBA DO PIAUI;3,07;;
220530 JERUMENHA;11,59;;
220535 JOAO COSTA;13,94;;
220540 JOAQUIM PIRES;5,07;;
220545 JOCA MARQUES;9,62;;
220550 JOSE DE FREITAS;7,93;;
220551 JUAZEIRO DO PIAUI;2,84;;
220552 JULIO BORGES;1,55;;
220553 JUREMA;8,53;;
220554 LAGOINHA DO PIAUI;4,03;;
220555 LAGOA ALEGRE;1,91;;
220556 LAGOA DO BARRO DO PIAUI;17,39;;
220557 LAGOA DE SAO FRANCISCO;4,49;;
220558 LAGOA DO PIAUI;8,15;;
220559 LAGOA DO SITIO;2,12;;
220560 LANDRI SALES;10,03;;
220570 LUIS CORREIA;12,38;;
220580 LUZILANDIA;7,31;;
220585 MADEIRO;2,57;;
220590 MANOEL EMIDIO;4,71;;
220595 MARCOLANDIA;10,85;;
220600 MARCOS PARENTE;2,7;;
220605 MASSAPE DO PIAUI;2,1;;
220610 MATIAS OLIMPIO;4,79;;
220620 MIGUEL ALVES;6,57;;
220630 MIGUEL LEAO;2,78;;
220635 MILTON BRANDAO;3,66;;
220640 MONSENHOR GIL;6,53;;
220650 MONSENHOR HIPOLITO;1,56;;
220660 MONTE ALEGRE DO PIAUI;5,81;;
220665 MORRO CABECA NO TEMPO;2,14;;
220667 MORRO DO CHAPEU DO PIAUI;6,34;;
220669 MURICI DOS PORTELAS;0,92;;
220670 NAZARE DO PIAUI;8,84;;
220675 NOSSA SENHORA DE NAZARE;9,03;;
220680 NOSSA SENHORA DOS REMEDIOS;2,77;;
220690 NOVO ORIENTE DO PIAUI;5,31;;
220695 NOVO SANTO ANTONIO;7,75;;
220700 OEIRAS;8,18;;
220710 OLHO D'AGUA DO PIAUI;2,51;;
220720 PADRE MARCOS;8,95;;
220730 PAES LANDIM;10,65;;
220735 PAJEU DO PIAUI;3,78;;
220740 PALMEIRA DO PIAUI;2,78;;
220750 PALMEIRAIS;5,13;;
220755 PAQUETA;0,75;;
220760 PARNAGUA;12,55;;
220770 PARNAIBA;15,1;;
220775 PASSAGEM FRANCA DO PIAUI;2,78;;
220777 PATOS DO PIAUI;5,67;;
220780 PAULISTANA;15,21;;
220785 PAVUSSU;3,92;;
220790 PEDRO II;8,91;;
220793 PEDRO LAURENTINO;0,96;;
220795 NOVA SANTA RITA;5,13;;
220800 PICOS;10,45;;
220810 PIMENTEIRAS;2,19;;
220820 PIO IX;4,63;;
220830 PIRACURUCA;13,26;;
220840 PIRIPIRI;11,11;;
220850 PORTO;7,59;;
220855 PORTO ALEGRE DO PIAUI;3,11;;
220860 PRATA DO PIAUI;9,03;;
220865 QUEIMADA NOVA;6,78;;
220870 REDENCAO DO GURGUEIA;3,31;;
220880 REGENERACAO;10,94;;
220885 RIACHO FRIO;2,59;;
220890 RIBEIRO GONCALVES;5,09;;
220900 RIO GRANDE DO PIAUI;0,55;;
220910 SANTA CRUZ DO PIAUI;7,99;;
220915 SANTA CRUZ DOS MILAGRES;11,32;;
220920 SANTA FILOMENA;3,54;;
220930 SANTA LUZ;7,12;;
220935 SANTANA DO PIAUI;8,78;;
220937 SANTA ROSA DO PIAUI;7,21;;
220940 SANTO ANTONIO DE LISBOA;2,21;;
220945 SANTO ANTONIO DOS MILAGRES;9,46;;
220950 SANTO INACIO DO PIAUI;0,66;;
220955 SAO BRAZ DO PIAUI;1,99;;
220960 SAO FELIX DO PIAUI;8,13;;
220965 SAO FRANCISCO DE ASSIS DO PIAUI;4,65;;
220970 SAO FRANCISCO DO PIAUI;8,2;;
220975 SAO GONCALO DO GURGUEIA;2,56;;
220980 SAO GONCALO DO PIAUI;4,96;;
220985 SAO JOAO DA CANABRAVA;1,02;;
220987 SAO JOAO DA FRONTEIRA;4,6;;
220990 SAO JOAO DA SERRA;5,74;;
220995 SAO JOAO DA VARJOTA;4,43;;
220997 SAO JOAO DO ARRAIAL;0,96;;
221000 SAO JOAO DO PIAUI;12,64;;
221005 SAO JOSE DO DIVINO;5,03;;
221010 SAO JOSE DO PEIXE;4,14;;
221020 SAO JOSE DO PIAUI;8,56;;
221030 SAO JULIAO;11,66;;
221035 SAO LOURENCO DO PIAUI;2,43;;
221037 SAO LUIS DO PIAUI;5,44;;
221038 SAO MIGUEL DA BAIXA GRANDE;0,15;;
221039 SAO MIGUEL DO FIDALGO;5,78;;
221040 SAO MIGUEL DO TAPUIO;4,63;;
221050 SAO PEDRO DO PIAUI;4,92;;
221060 SAO RAIMUNDO NONATO;6,45;;
221062 SEBASTIAO BARROS;4,6;;
221063 SEBASTIAO LEAL;2,36;;
221065 SIGEFREDO PACHECO;0,99;;
221070 SIMOES;7,88;;
221080 SIMPLICIO MENDES;10,84;;
221090 SOCORRO DO PIAUI;3,99;;
221093 SUSSUAPARA;5,97;;
221095 TAMBORIL DO PIAUI;5,15;;
221097 TANQUE DO PIAUI;5,32;;
221100 TERESINA;16,36;;
221110 UNIAO;9,37;;
221120 URUCUI;10,85;;
221130 VALENCA DO PIAUI;12,26;;
221135 VARZEA BRANCA;4,93;;
221140 VARZEA GRANDE;4,53;;
221150 VERA MENDES;1,59;;
221160 VILA NOVA DO PIAUI;1,8;;
221170 WALL FERRAZ;2,56;;
230010 ABAIARA;9,12;;
230015 ACARAPE;13,32;;
230020 ACARAU;8,32;;
230030 ACOPIARA;5,92;;
230040 AIUABA;3,79;;
230050 ALCANTARAS;5,3;;
230060 ALTANEIRA;1,88;;
230070 ALTO SANTO;12,92;;
230075 AMONTADA;13,17;;
230080 ANTONINA DO NORTE;6,97;;
230090 APUIARES;8,43;;
230100 AQUIRAZ;9,09;;
230110 ARACATI;16,33;;
230120 ARACOIABA;8,44;;
230125 ARARENDA;8,61;;
230130 ARARIPE;3,92;;
230140 ARATUBA;9,52;;
230150 ARNEIROZ;6,8;;
230160 ASSARE;4,08;;
230170 AURORA;9,02;;
230180 BAIXIO;7,12;;
230185 BANABUIU;13,49;;
230190 BARBALHA;17,56;;
230195 BARREIRA;10,41;;
230200 BARRO;4,57;;
230205 BARROQUINHA;10,78;;
230210 BATURITE;10,95;;
230220 BEBERIBE;12,28;;
230230 BELA CRUZ;9,85;;
230240 BOA VIAGEM;7,51;;
230250 BREJO SANTO;12,57;;
230260 CAMOCIM;12,09;;
230270 CAMPOS SALES;9,65;;
230280 CANINDE;12,44;;
230290 CAPISTRANO;10,08;;
230300 CARIDADE;12,01;;
230310 CARIRE;6,19;;
230320 CARIRIACU;8,62;;
230330 CARIUS;6,01;;
230340 CARNAUBAL;12,59;;
230350 CASCAVEL;15,42;;
230360 CATARINA;14,16;;
230365 CATUNDA;3,35;;
230370 CAUCAIA;19,76;;
230380 CEDRO;6,44;;
230390 CHAVAL;4,38;;
230393 CHORO;5,27;;
230395 CHOROZINHO;8,6;;
230400 COREAU;5,59;;
230410 CRATEUS;10,59;;
230420 CRATO;14,86;;
230423 CROATA;3,98;;
230425 CRUZ;8,13;;
230426 DEPUTADO IRAPUAN PINHEIRO;3,59;;
230427 ERERE;6,41;;
230428 EUSEBIO;24,44;;
230430 FARIAS BRITO;4,79;;
230435 FORQUILHA;15,23;;
230440 FORTALEZA;16,53;;
230445 FORTIM;16,85;;
230450 FRECHEIRINHA;13,18;;
230460 GENERAL SAMPAIO;20,53;;
230465 GRACA;6,78;;
230470 GRANJA;6,71;;
230480 GRANJEIRO;13,41;;
230490 GROAIRAS;10,68;;
230495 GUAIUBA;10,09;;
230500 GUARACIABA DO NORTE;5,51;;
230510 GUARAMIRANGA;9,02;;
230520 HIDROLANDIA;8,35;;
230523 HORIZONTE;16,91;;
230526 IBARETAMA;8,28;;
230530 IBIAPINA;7,14;;
230533 IBICUITINGA;7,16;;
230535 ICAPUI;11,92;;
230540 ICO;12,21;;
230550 IGUATU;9,78;;
230560 INDEPENDENCIA;8,19;;
230565 IPAPORANGA;11,87;;
230570 IPAUMIRIM;11,46;;
230580 IPU;4,04;;
230590 IPUEIRAS;6,73;;
230600 IRACEMA;8,3;;
230610 IRAUCUBA;6,41;;
230620 ITAICABA;8,27;;
230625 ITAITINGA;18,93;;
230630 ITAPAGE;8,77;;
230640 ITAPIPOCA;7,9;;
230650 ITAPIUNA;10,39;;
230655 ITAREMA;8,14;;
230660 ITATIRA;5,77;;
230670 JAGUARETAMA;5,7;;
230680 JAGUARIBARA;15,01;;
230690 JAGUARIBE;8,54;;
230700 JAGUARUANA;11,22;;
230710 JARDIM;17,33;;
230720 JATI;21,73;;
230725 JIJOCA DE JERICOACOARA;4,16;;
230730 JUAZEIRO DO NORTE;14,6;;
230740 JUCAS;7,61;;
230750 LAVRAS DA MANGABEIRA;8,35;;
230760 LIMOEIRO DO NORTE;11,87;;
230763 MADALENA;6,32;;
230765 MARACANAU;18,84;;
230770 MARANGUAPE;14,98;;
230780 MARCO;11,48;;
230790 MARTINOPOLE;10,45;;
230800 MASSAPE;7,74;;
230810 MAURITI;9,8;;
230820 MERUOCA;4,55;;
230830 MILAGRES;10,96;;
230835 MILHA;5,4;;
230837 MIRAIMA;8,15;;
230840 MISSAO VELHA;7,13;;
230850 MOMBACA;8,55;;
230860 MONSENHOR TABOSA;5,37;;
230870 MORADA NOVA;8,8;;
230880 MORAUJO;1,09;;
230890 MORRINHOS;7,58;;
230900 MUCAMBO;5,37;;
230910 MULUNGU;5,81;;
230920 NOVA OLINDA;4,88;;
230930 NOVA RUSSAS;10,6;;
230940 NOVO ORIENTE;5,11;;
230945 OCARA;11,67;;
230950 OROS;11,4;;
230960 PACAJUS;17,95;;
230970 PACATUBA;23,59;;
230980 PACOTI;5,38;;
230990 PACUJA;8,04;;
231000 PALHANO;7,65;;
231010 PALMACIA;13,7;;
231020 PARACURU;14,49;;
231025 PARAIPABA;10,03;;
231030 PARAMBU;6,31;;
231040 PARAMOTI;10,31;;
231050 PEDRA BRANCA;5,44;;
231060 PENAFORTE;11,92;;
231070 PENTECOSTE;11,53;;
231080 PEREIRO;5,74;;
231085 PINDORETAMA;13,35;;
231090 PIQUET CARNEIRO;7,02;;
231095 PIRES FERREIRA;1,91;;
231100 PORANGA;12,27;;
231110 PORTEIRAS;5,29;;
231120 POTENGI;3,54;;
231123 POTIRETAMA;6,66;;
231126 QUITERIANOPOLIS;1,41;;
231130 QUIXADA;14,65;;
231135 QUIXELO;2,92;;
231140 QUIXERAMOBIM;8,2;;
231150 QUIXERE;7,62;;
231160 REDENCAO;9,67;;
231170 RERIUTABA;8,72;;
231180 RUSSAS;15;;
231190 SABOEIRO;3,34;;
231195 SALITRE;3,27;;
231200 SANTANA DO ACARAU;10,25;;
231210 SANTANA DO CARIRI;8,48;;
231220 SANTA QUITERIA;4,86;;
231230 SAO BENEDITO;9,77;;
231240 SAO GONCALO DO AMARANTE;10,88;;
231250 SAO JOAO DO JAGUARIBE;15,26;;
231260 SAO LUIS DO CURU;9,98;;
231270 SENADOR POMPEU;9,56;;
231280 SENADOR SA;7,7;;
231290 SOBRAL;13,79;;
231300 SOLONOPOLE;7,43;;
231310 TABULEIRO DO NORTE;13,19;;
231320 TAMBORIL;8,13;;
231325 TARRAFAS;9,28;;
231330 TAUA;7,46;;
231335 TEJUCUOCA;9,55;;
231340 TIANGUA;8,27;;
231350 TRAIRI;5,58;;
231355 TURURU;9,89;;
231360 UBAJARA;6,2;;
231370 UMARI;15,67;;
231375 UMIRIM;9,27;;
231380 URUBURETAMA;10,94;;
231390 URUOCA;5,28;;
231395 VARJOTA;9,39;;
231400 VARZEA ALEGRE;10,22;;
231410 VICOSA DO CEARA;6,19;;
240010 ACARI;11,06;;
240020 ACU;16,77;;
240030 AFONSO BEZERRA;16,19;;
240040 AGUA NOVA;3,35;;
240050 ALEXANDRIA;10,3;;
240060 ALMINO AFONSO;4,58;;
240070 ALTO DO RODRIGUES;18,4;;
240080 ANGICOS;13,04;;
240090 ANTONIO MARTINS;17,15;;
240100 APODI;14,71;;
240110 AREIA BRANCA;18,58;;
240120 ARES;17,49;;
240130 AUGUSTO SEVERO;13,37;;
240140 BAIA FORMOSA;29,08;;
240145 BARAUNA;17,88;;
240150 BARCELONA;8,66;;
240160 BENTO FERNANDES;19,23;;
240165 BODO;14,3;;
240170 BOM JESUS;13,65;;
240180 BREJINHO;12,16;;
240185 CAICARA DO NORTE;27,39;;
240190 CAICARA DO RIO DO VENTO;26,1;;
240200 CAICO;11,68;;
240210 CAMPO REDONDO;6,85;;
240220 CANGUARETAMA;21,66;;
240230 CARAUBAS;13,66;;
240240 CARNAUBA DOS DANTAS;7,54;;
240250 CARNAUBAIS;20,77;;
240260 CEARA-MIRIM;20,22;;
240270 CERRO CORA;1,85;;
240280 CORONEL EZEQUIEL;5,9;;
240290 CORONEL JOAO PESSOA;8,41;;
240300 CRUZETA;8,33;;
240310 CURRAIS NOVOS;16,07;;
240320 DOUTOR SEVERIANO;4,63;;
240325 PARNAMIRIM;16,81;;
240330 ENCANTO;10,79;;
240340 EQUADOR;2,5;;
240350 ESPIRITO SANTO;21,02;;
240360 EXTREMOZ;17,45;;
240370 FELIPE GUERRA;12,52;;
240375 FERNANDO PEDROZA;17,58;;
240380 FLORANIA;10,32;;
240390 FRANCISCO DANTAS;8,82;;
240400 FRUTUOSO GOMES;20,12;;
240410 GALINHOS;8,49;;
240420 GOIANINHA;28,67;;
240430 GOVERNADOR DIX-SEPT ROSADO;9,75;;
240440 GROSSOS;23,16;;
240450 GUAMARE;8,98;;
240460 IELMO MARINHO;6,98;;
240470 IPANGUACU;14,71;;
240480 IPUEIRA;40,1;;
240485 ITAJA;15,54;;
240490 ITAU;23,96;;
240500 JACANA;17,04;;
240510 JANDAIRA;14,85;;
240520 JANDUIS;10,65;;
240530 JANUARIO CICCO;8,28;;
240540 JAPI;19,1;;
240550 JARDIM DE ANGICOS;14,45;;
240560 JARDIM DE PIRANHAS;5,46;;
240570 JARDIM DO SERIDO;10,21;;
240580 JOAO CAMARA;12,42;;
240590 JOAO DIAS;41,68;;
240600 JOSE DA PENHA;6,36;;
240610 JUCURUTU;8,55;;
240620 LAGOA D'ANTA;7,11;;
240630 LAGOA DE PEDRAS;12,24;;
240640 LAGOA DE VELHOS;5,36;;
240650 LAGOA NOVA;6,61;;
240660 LAGOA SALGADA;19,8;;
240670 LAJES;13,31;;
240680 LAJES PINTADAS;15,25;;
240690 LUCRECIA;11,82;;
240700 LUIS GOMES;4,66;;
240710 MACAIBA;18,93;;
240720 MACAU;16,12;;
240725 MAJOR SALES;4,72;;
240730 MARCELINO VIEIRA;7,55;;
240740 MARTINS;12,01;;
240750 MAXARANGUAPE;12,48;;
240760 MESSIAS TARGINO;11,93;;
240770 MONTANHAS;14,62;;
240780 MONTE ALEGRE;16,85;;
240790 MONTE DAS GAMELEIRAS;9;;
240800 MOSSORO;20,77;;
240810 NATAL;17,69;;
240820 NISIA FLORESTA;12,52;;
240830 NOVA CRUZ;14,9;;
240840 OLHO-D'AGUA DO BORGES;10,54;;
240850 OURO BRANCO;10,4;;
240860 PARANA;8,22;;
240870 PARAU;28,03;;
240880 PARAZINHO;14,54;;
240890 PARELHAS;15,3;;
240895 RIO DO FOGO;13,42;;
240910 PASSA E FICA;15,26;;
240920 PASSAGEM;7,11;;
240930 PATU;12,34;;
240933 SANTA MARIA;27,44;;
240940 PAU DOS FERROS;12,98;;
240950 PEDRA GRANDE;4,69;;
240960 PEDRA PRETA;3,01;;
240970 PEDRO AVELINO;16,73;;
240980 PEDRO VELHO;19,79;;
240990 PENDENCIAS;26,91;;
241000 PILOES;9,22;;
241010 POCO BRANCO;7,56;;
241020 PORTALEGRE;13,73;;
241025 PORTO DO MANGUE;9,73;;
241030 SERRA CAIADA;8,09;;
241040 PUREZA;11,11;;
241050 RAFAEL FERNANDES;12,15;;
241060 RAFAEL GODEIRO;7,88;;
241070 RIACHO DA CRUZ;28,87;;
241080 RIACHO DE SANTANA;5,44;;
241090 RIACHUELO;13,55;;
241100 RODOLFO FERNANDES;10,85;;
241105 TIBAU;16,3;;
241110 RUY BARBOSA;4,67;;
241120 SANTA CRUZ;13,47;;
241140 SANTANA DO MATOS;20,56;;
241142 SANTANA DO SERIDO;18,28;;
241150 SANTO ANTONIO;10,6;;
241160 SAO BENTO DO NORTE;8,7;;
241170 SAO BENTO DO TRAIRI;5,59;;
241180 SAO FERNANDO;10,5;;
241190 SAO FRANCISCO DO OESTE;19,53;;
241200 SAO GONCALO DO AMARANTE;20,3;;
241210 SAO JOAO DO SABUGI;13,91;;
241220 SAO JOSE DE MIPIBU;13,83;;
241230 SAO JOSE DO CAMPESTRE;17,02;;
241240 SAO JOSE DO SERIDO;9,17;;
241250 SAO MIGUEL;11,08;;
241255 SAO MIGUEL DO GOSTOSO;7,99;;
241260 SAO PAULO DO POTENGI;17,19;;
241270 SAO PEDRO;16,73;;
241280 SAO RAFAEL;12,32;;
241290 SAO TOME;8,93;;
241300 SAO VICENTE;11,38;;
241310 SENADOR ELOI DE SOUZA;8,87;;
241320 SENADOR GEORGINO AVELINO;8,28;;
241330 SERRA DE SAO BENTO;3,2;;
241335 SERRA DO MEL;6,47;;
241340 SERRA NEGRA DO NORTE;11,42;;
241350 SERRINHA;7,84;;
241355 SERRINHA DOS PINTOS;6,6;;
241360 SEVERIANO MELO;13,26;;
241370 SITIO NOVO;4,88;;
241380 TABOLEIRO GRANDE;4,99;;
241390 TAIPU;18,59;;
241400 TANGARA;16,75;;
241410 TENENTE ANANIAS;16,29;;
241415 TENENTE LAURENTINO CRUZ;7,79;;
241420 TIBAU DO SUL;9,18;;
241430 TIMBAUBA DOS BATISTAS;4,43;;
241440 TOUROS;15,75;;
241445 TRIUNFO POTIGUAR;9,38;;
241450 UMARIZAL;13,33;;
241460 UPANEMA;22,09;;
241470 VARZEA;15,36;;
241475 VENHA-VER;12,7;;
241480 VERA CRUZ;7,94;;
241490 VICOSA;17,42;;
241500 VILA FLOR;8,12;;
250010 AGUA BRANCA;6,16;;
250020 AGUIAR;6,91;;
250030 ALAGOA GRANDE;9,44;;
250040 ALAGOA NOVA;10,85;;
250050 ALAGOINHA;12,41;;
250053 ALCANTIL;21,59;;
250057 ALGODAO DE JANDAIRA;4,26;;
250060 ALHANDRA;14,85;;
250070 SAO JOAO DO RIO DO PEIXE;11,52;;
250073 AMPARO;5,55;;
250077 APARECIDA;7,82;;
250080 ARACAGI;5,26;;
250090 ARARA;4,82;;
250100 ARARUNA;10,06;;
250110 AREIA;14,05;;
250115 AREIA DE BARAUNAS;6,27;;
250120 AREIAL;4,76;;
250130 AROEIRAS;8,32;;
250135 ASSUNCAO;20,21;;
250140 BAIA DA TRAICAO;11,75;;
250150 BANANEIRAS;13,49;;
250153 BARAUNA;10,39;;
250157 BARRA DE SANTANA;8,54;;
250160 BARRA DE SANTA ROSA;9,03;;
250170 BARRA DE SAO MIGUEL;8,63;;
250180 BAYEUX;25,37;;
250190 BELEM;15,92;;
250200 BELEM DO BREJO DO CRUZ;13,03;;
250205 BERNARDINO BATISTA;5,04;;
250210 BOA VENTURA;12,11;;
250215 BOA VISTA;13,35;;
250220 BOM JESUS;7,96;;
250230 BOM SUCESSO;5,5;;
250240 BONITO DE SANTA FE;11,62;;
250250 BOQUEIRAO;12,62;;
250260 IGARACY;5,66;;
250270 BORBOREMA;15,3;;
250280 BREJO DO CRUZ;6,44;;
250290 BREJO DOS SANTOS;12,8;;
250300 CAAPORA;28,33;;
250310 CABACEIRAS;9,76;;
250320 CABEDELO;19,14;;
250330 CACHOEIRA DOS INDIOS;6,08;;
250340 CACIMBA DE AREIA;14,11;;
250350 CACIMBA DE DENTRO;10,29;;
250355 CACIMBAS;1,3;;
250360 CAICARA;3,84;;
250370 CAJAZEIRAS;12,73;;
250375 CAJAZEIRINHAS;7,25;;
250380 CALDAS BRANDAO;9,03;;
250390 CAMALAU;4,64;;
250400 CAMPINA GRANDE;18,64;;
250403 CAPIM;12,08;;
250407 CARAUBAS;6,81;;
250410 CARRAPATEIRA;0,81;;
250415 CASSERENGUE;3,71;;
250420 CATINGUEIRA;17,62;;
250430 CATOLE DO ROCHA;7,95;;
250435 CATURITE;5,93;;
250440 CONCEICAO;10,47;;
250450 CONDADO;6,71;;
250460 CONDE;16,99;;
250470 CONGO;7,82;;
250480 COREMAS;13,72;;
250485 COXIXOLA;3,33;;
250490 CRUZ DO ESPIRITO SANTO;9,71;;
250500 CUBATI;6,16;;
250510 CUITE;9,76;;
250520 CUITEGI;12,54;;
250523 CUITE DE MAMANGUAPE;4,39;;
250527 CURRAL DE CIMA;4,34;;
250530 CURRAL VELHO;5,88;;
250535 DAMIAO;4,63;;
250540 DESTERRO;5,14;;
250550 VISTA SERRANA;0,82;;
250560 DIAMANTE;2,33;;
250570 DONA INES;4,14;;
250580 DUAS ESTRADAS;12,15;;
250590 EMAS;15,33;;
250600 ESPERANCA;13,79;;
250610 FAGUNDES;8,72;;
250620 FREI MARTINHO;1,28;;
250625 GADO BRAVO;5,28;;
250630 GUARABIRA;16,44;;
250640 GURINHEM;10,02;;
250650 GURJAO;7,16;;
250660 IBIARA;9,68;;
250670 IMACULADA;2,83;;
250680 INGA;10,68;;
250690 ITABAIANA;18,36;;
250700 ITAPORANGA;12,18;;
250710 ITAPOROROCA;15,77;;
250720 ITATUBA;10,77;;
250730 JACARAU;7;;
250740 JERICO;4,02;;
250750 JOAO PESSOA;17,61;;
250760 JUAREZ TAVORA;7,05;;
250770 JUAZEIRINHO;10,99;;
250780 JUNCO DO SERIDO;11,42;;
250790 JURIPIRANGA;12,81;;
250800 JURU;4,26;;
250810 LAGOA;2,53;;
250820 LAGOA DE DENTRO;9,18;;
250830 LAGOA SECA;9,3;;
250840 LASTRO;9,76;;
250850 LIVRAMENTO;8,32;;
250855 LOGRADOURO;5,43;;
250860 LUCENA;16,8;;
